sex,agemos,_hcirc_l,_hcirc_m,_hcirc_s,_weight_l,_weight_m,_weight_s,_height_l,_height_m,_height_s,premature,ageweeks
2,3.5,-1.521492427,40.46773733,0.033096443,0.734121414,5.859960798,0.123025182,0.843299612,60.45980763,0.040705173,0,
2,4.5,-1.394565915,41.34841008,0.03170963,0.590235275,6.437587751,0.119840911,1.097562257,62.53669656,0.040079765,0,
2,5.5,-1.231713389,42.0833507,0.030709039,0.464391566,6.967850457,0.117166868,1.272509641,64.40632762,0.039686845,0,
2,6.5,-1.046582628,42.71033603,0.029974303,0.352164071,7.454854109,0.11489384,1.390428859,66.11841553,0.039444555,0,
2,7.5,-0.848932692,43.25428882,0.029430992,0.250497889,7.902436186,0.112949644,1.466733925,67.70574419,0.039304738,0,
2,8.5,-0.645779124,43.73249646,0.029030379,0.15724751,8.314178377,0.11128469,1.512301976,69.19123614,0.03923711,0,
2,9.5,-0.442165412,44.15742837,0.028739112,0.070885725,8.693418423,0.109863709,1.534950767,70.59163924,0.039221665,0,
2,10.5,-0.24163206,44.53836794,0.028533537,-0.00968493,9.043261854,0.10866078,1.540390875,71.91961673,0.039244672,0,
2,11.5,-0.046673786,44.88240562,0.028396382,-0.085258,9.366593571,0.10765621,1.532852892,73.1850104,0.03929642,0,
2,12.5,0.141031094,45.19507651,0.028314722,-0.15640945,9.666089185,0.106834517,1.51550947,74.39564379,0.039369875,0,
2,13.5,0.320403169,45.48078147,0.028278682,-0.22355869,9.944226063,0.106183085,1.490765028,75.5578544,0.039459832,0,
2,14.5,0.490807133,45.74307527,0.028280585,-0.28701346,10.20329397,0.105691242,1.460458255,76.67685871,0.039562382,0,
2,15.5,0.65193505,45.98486901,0.028314363,-0.34699919,10.4454058,0.105349631,1.426006009,77.75700986,0.039674542,0,
2,16.5,0.803718086,46.20857558,0.028375159,-0.40368918,10.67250698,0.105149754,1.388507095,78.80198406,0.03979401,0,
2,17.5,0.946259679,46.41621635,0.028459033,-0.45721877,10.88638558,0.105083666,1.348818127,79.81491852,0.039918994,0,
2,18.5,1.079784984,46.60950084,0.028562759,-0.50770077,11.08868151,0.105143752,1.307609654,80.79851532,0.040048084,0,
2,19.5,1.204602687,46.78988722,0.028683666,-0.55523599,11.28089537,0.105322575,1.265408149,81.75512092,0.040180162,0,
2,20.5,1.321076285,46.95862881,0.028819525,-0.59992113,11.46439708,0.10561278,1.222627732,82.6867881,0.04031434,0,
2,21.5,1.429602576,47.11681039,0.028968459,-0.64185418,11.64043402,0.106007025,1.179594365,83.59532461,0.040449904,0,
2,22.5,1.530595677,47.26537682,0.029128879,-0.6811381,11.81013895,0.106497957,1.136564448,84.48233206,0.040586283,0,
2,23.5,1.624475262,47.40515585,0.029299426,-0.71788283,11.97453748,0.107078197,1.093731947,85.34923624,0.040723015,0,
2,24.5,1.71165803,47.53687649,0.029478937,-0.75220617,12.13455528,0.107740346,1.051272912,86.1973169,0.040859727,0,
2,25.5,1.792551616,47.66118396,0.029666406,-0.78423359,12.2910249,0.108477009,1.041951175,87.09026318,0.041142161,0,
2,26.5,1.867550375,47.77865186,0.02986096,-0.81409743,12.44469237,0.109280822,1.012592236,87.95714182,0.041349399,0,
2,27.5,1.93703258,47.8897923,0.030061839,-0.8419355,12.59622335,0.110144488,0.970541909,88.7960184,0.041500428,0,
2,28.5,2.001358669,47.99506422,0.030268375,-0.86788939,12.74620911,0.111060814,0.921129988,89.6055115,0.041610508,0,
2,29.5,2.060870301,48.09488048,0.030479985,-0.89210264,12.89517218,0.112022758,0.868221392,90.38476689,0.041691761,0,
2,30.5,2.115889982,48.18961365,0.03069615,-0.91471881,13.04357164,0.113023466,0.81454413,91.13341722,0.04175368,0,
2,31.5,2.16672113,48.2796011,0.030916413,-0.93587966,13.19180827,0.114056316,0.761957977,91.8515436,0.041803562,0,
2,32.5,2.21364844,48.36514917,0.031140368,-0.95572344,13.34022934,0.115114952,0.711660228,92.5396352,0.041846882,0,
2,33.5,2.256943216,48.44653703,0.031367651,-0.97438101,13.48913357,0.116193337,0.664323379,93.19854429,0.041887626,0,
2,34.5,2.296844024,48.52401894,0.031597939,-0.99198075,13.63877446,0.11728575,0.620285102,93.82945392,0.041928568,0,
2,35.5,2.333589434,48.59782828,0.031830942,-1.00864074,13.78936547,0.118386847,0.57955631,94.43382278,0.041971514,0,
2,36,2.350847202,48.63342328,0.031948378,-1.01665314,13.86507382,0.118939087,,,,0,
2,,1.0,20.9,0.06,0.4,569,0.15,1.0,29.6,0.06,1,23
2,,1.0,21.8,0.06,0.7,649,0.17,1.0,30.9,0.06,1,24
2,,1.0,22.7,0.06,1.0,742,0.19,1.0,32.3,0.06,1,25
2,,1.0,23.7,0.06,1.1,844,0.21,1.0,33.6,0.07,1,26
2,,1.0,24.6,0.06,1.2,956,0.22,1.0,35.0,0.07,1,27
2,,1.0,25.5,0.05,1.3,1082,0.23,1.0,36.4,0.07,1,28
2,,1.0,26.5,0.05,1.2,1226,0.23,1.0,37.8,0.07,1,29
2,,1.0,27.4,0.05,1.2,1391,0.23,1.0,39.2,0.07,1,30
2,,1.0,28.4,0.05,1.1,1579,0.22,1.0,40.6,0.06,1,31
2,,1.0,29.3,0.05,0.9,1787,0.21,1.0,42.0,0.06,1,32
2,,1.0,30.2,0.05,0.8,2010,0.20,1.0,43.3,0.06,1,33
2,,1.0,31.1,0.05,0.7,2243,0.19,1.0,44.6,0.06,1,34
2,,1.0,31.9,0.05,0.5,2482,0.18,1.0,45.9,0.06,1,35
2,,1.0,32.6,0.04,0.4,2720,0.17,1.0,47.0,0.05,1,36
2,,1.0,33.3,0.04,0.3,2946,0.16,1.0,48.1,0.05,1,37
2,,1.0,33.9,0.04,0.2,3147,0.15,1.0,49.1,0.05,1,38
2,,1.0,34.4,0.04,0.2,3328,0.15,1.0,50.0,0.05,1,39
2,,1.0,35.0,0.04,0.2,3504,0.15,1.0,50.9,0.04,1,40
2,,1.0,35.4,0.04,0.1,3690,0.14,1.0,51.7,0.04,1,41
2,,1.0,35.9,0.04,0.1,3887,0.14,1.0,52.5,0.04,1,42
2,,1.0,36.3,0.04,0.1,4089,0.14,1.0,53.3,0.04,1,43
2,,1.0,36.7,0.04,0.1,4295,0.14,1.0,54.1,0.04,1,44
2,,1.0,37.1,0.03,0.1,4500,0.14,1.0,54.8,0.04,1,45
2,,1.0,37.5,0.03,0.1,4701,0.13,1.0,55.5,0.04,1,46
